"Area.Code","Cogs","DifferenceBetweenActualandTargetProfit","Date","Inventory.Margin","Margin","Market_size","Market","Marketing","Product_line","Product_type","Product","Profit","Sales","State","Target_cogs","Target_margin","Target_profit","Target_sales","Total_expenses","Type","Log_Profit","Sqrt_Profit","BoxCox_Profit","YeoJohnson_Profit"
262,48,-15,"10/17/2012",851,70,"Small Market","Central",13,"Leaves","Herbal Tea","Lemon",45,118,"Wisconsin",30,60,60,90,25,"Decaf",3.8286413964891,6.70820393249937,7.11008077908889,6.34925473862917
801,49,-27,"10/18/2012",310,71,"Small Market","West",15,"Leaves","Herbal Tea","Chamomile",33,120,"Utah",30,60,60,90,38,"Decaf",3.52636052461616,5.74456264653803,6.18219544910834,5.60433503985148
425,48,-13,"10/19/2012",829,71,"Small Market","West",13,"Leaves","Herbal Tea","Lemon",47,119,"Washington",30,60,60,90,24,"Decaf",3.87120101090789,6.85565460040104,7.24721322674887,6.45864011136703
860,40,-14,"10/20/2012",881,59,"Small Market","East",11,"Leaves","Tea","Darjeeling",36,99,"Connecticut",40,60,50,100,23,"Regular",3.61091791264422,6,6.43385350527841,5.8071810955365
971,82,14,"10/21/2012",788,123,"Small Market","West",27,"Leaves","Tea","Earl Grey",64,205,"Oregon",30,60,50,90,59,"Regular",4.17438726989564,8,8.27400751061499,7.27180293212449
971,91,26,"10/22/2012",656,127,"Small Market","West",28,"Leaves","Tea","Green Tea",76,218,"Oregon",40,60,50,100,51,"Regular",4.34380542185368,8.71779788708135,8.88811913258737,7.75322041051975
915,40,-14,"10/23/2012",536,52,"Major Market","South",13,"Beans","Coffee","Decaf Irish Cream",26,92,"Texas",40,60,40,100,26,"Decaf",3.29583686600433,5.09901951359278,5.52538206968385,5.07222088649086
210,50,8,"10/24/2012",589,73,"Major Market","South",14,"Beans","Espresso","Decaf Espresso",48,123,"Texas",30,60,40,90,25,"Decaf",3.89182029811063,6.92820323027551,7.31425168498385,6.51204702917976
970,40,-13,"10/25/2012",536,52,"Major Market","Central",13,"Beans","Coffee","Colombian",27,92,"Colorado",30,60,40,90,25,"Regular",3.3322045101752,5.19615242270663,5.62625126507429,5.15418254444888
774,52,-8,"10/26/2012",554,68,"Major Market","East",47,"Beans","Espresso","Caffe Mocha",1e-05,120,"Massachusetts",50,60,0,110,76,"Regular",9.99995000039884e-06,0.00316227766016838,-3.22792407799438,9.99996225988376e-06
954,75,14,"10/27/2012",1063,89,"Major Market","East",23,"Leaves","Herbal Tea","Mint",44,164,"Florida",50,60,30,110,45,"Decaf",3.80666248977032,6.6332495807108,7.03990958496152,6.29321062450087
936,46,1,"10/28/2012",424,68,"Major Market","South",14,"Leaves","Herbal Tea","Lemon",31,114,"Texas",40,60,30,100,37,"Decaf",3.46573590279973,5.56776436283002,6.00538449812395,5.46146854042967
719,55,-5,"10/29/2012",410,69,"Major Market","Central",20,"Leaves","Tea","Darjeeling",15,124,"Colorado",40,60,20,100,54,"Regular",2.77258872223978,3.87298334620742,4.17781126947552,3.97041716289268
847,50,8,"10/30/2012",589,73,"Major Market","Central",14,"Leaves","Tea","Darjeeling",48,123,"Illinois",40,60,40,100,25,"Regular",3.89182029811063,6.92820323027551,7.31425168498385,6.51204702917976
719,57,-1,"10/31/2012",1042,68,"Major Market","Central",17,"Leaves","Tea","Earl Grey",29,125,"Colorado",40,60,30,100,39,"Regular",3.40119738166216,5.3851648071345,5.8203976445416,5.31169438026127
339,36,-9,"11/1/2012",862,52,"Major Market","East",10,"Leaves","Tea","Darjeeling",31,88,"Massachusetts",30,60,40,90,21,"Regular",3.46573590279973,5.56776436283002,6.00538449812395,5.46146854042967
314,33,-23,"11/2/2012",836,48,"Small Market","Central",9,"Beans","Espresso","Decaf Espresso",27,81,"Missouri",40,60,50,100,21,"Decaf",3.3322045101752,5.19615242270663,5.62625126507429,5.15418254444888
504,31,-22,"11/3/2012",856,47,"Small Market","South",8,"Beans","Coffee","Decaf Irish Cream",28,78,"Louisiana",30,60,50,90,19,"Decaf",3.36729582998647,5.29150262212918,5.72453815488877,5.2339636095422
580,36,-10,"11/4/2012",862,52,"Small Market","South",10,"Beans","Coffee","Decaf Irish Cream",30,88,"Oklahoma",40,60,40,100,22,"Decaf",3.43398720448515,5.47722557505166,5.91397038224061,5.38749333359726
225,49,4,"11/5/2012",454,71,"Small Market","South",15,"Beans","Espresso","Decaf Espresso",34,120,"Louisiana",30,60,30,90,37,"Decaf",3.55534806148941,5.8309518948453,6.2677982204248,5.67340047857861
262,54,-6,"11/6/2012",391,67,"Small Market","Central",20,"Beans","Coffee","Amaretto",14,121,"Wisconsin",50,60,20,110,53,"Regular",2.70805020110221,3.74165738677394,4.02394448886189,3.84405211016258
603,46,-10,"11/7/2012",316,67,"Small Market","East",14,"Beans","Coffee","Amaretto",30,113,"New Hampshire",40,60,40,100,37,"Regular",3.43398720448515,5.47722557505166,5.91397038224061,5.38749333359726
603,43,-10,"11/8/2012",452,66,"Small Market","East",14,"Beans","Coffee","Colombian",20,109,"New Hampshire",30,60,30,90,46,"Regular",3.04452243772342,4.47213595499958,4.85485350743861,4.52537705589284
603,44,-18,"11/9/2012",325,62,"Small Market","East",40,"Beans","Espresso","Caffe Mocha",1e-05,106,"New Hampshire",40,60,10,100,70,"Regular",9.99995000039884e-06,0.00316227766016838,-3.22792407799438,9.99996225988376e-06
225,53,19,"11/10/2012",321,88,"Small Market","South",16,"Beans","Espresso","Caffe Mocha",49,141,"Louisiana",40,60,30,100,39,"Regular",3.91202300542815,7,7.38031949905347,6.56463747950631
425,54,-7,"11/11/2012",391,67,"Small Market","West",20,"Beans","Espresso","Caffe Mocha",13,121,"Washington",50,60,20,110,54,"Regular",2.63905732961526,3.60555127546399,3.86217948140527,3.71115874981479
918,54,-7,"11/12/2012",391,67,"Small Market","South",20,"Leaves","Herbal Tea","Chamomile",13,121,"Oklahoma",50,60,20,110,54,"Decaf",2.63905732961526,3.60555127546399,3.86217948140527,3.71115874981479
801,46,0,"11/13/2012",316,67,"Small Market","West",14,"Leaves","Herbal Tea","Chamomile",30,113,"Utah",40,60,30,100,37,"Decaf",3.43398720448515,5.47722557505166,5.91397038224061,5.38749333359726
435,43,-10,"11/14/2012",452,66,"Small Market","West",14,"Leaves","Herbal Tea","Lemon",20,109,"Utah",40,60,30,100,46,"Decaf",3.04452243772342,4.47213595499958,4.85485350743861,4.52537705589284
509,47,4,"11/15/2012",834,68,"Small Market","West",13,"Leaves","Herbal Tea","Lemon",44,115,"Washington",40,60,40,100,24,"Decaf",3.80666248977032,6.6332495807108,7.03990958496152,6.29321062450087
203,36,-7,"11/16/2012",809,54,"Small Market","East",10,"Leaves","Tea","Green Tea",33,90,"Connecticut",30,60,40,90,21,"Regular",3.52636052461616,5.74456264653803,6.18219544910834,5.60433503985148
206,61,1,"11/17/2012",613,86,"Small Market","West",55,"Leaves","Tea","Green Tea",1,147,"Washington",40,60,0,100,85,"Regular",0.693147180559945,1,0,0.7555321818971
682,43,-10,"11/18/2012",531,56,"Major Market","South",14,"Beans","Coffee","Decaf Irish Cream",30,99,"Texas",50,60,40,110,26,"Decaf",3.43398720448515,5.47722557505166,5.91397038224061,5.38749333359726
214,54,12,"11/19/2012",601,79,"Major Market","South",15,"Beans","Espresso","Decaf Espresso",52,133,"Texas",40,60,40,100,27,"Decaf",3.97029191355212,7.21110255092798,7.57302464450383,6.71778694300049
970,47,-6,"11/20/2012",521,65,"Major Market","Central",42,"Leaves","Herbal Tea","Lemon",1e-05,112,"Colorado",40,60,0,100,71,"Decaf",9.99995000039884e-06,0.00316227766016838,-3.22792407799438,9.99996225988376e-06
303,54,-1,"11/21/2012",424,73,"Major Market","Central",17,"Leaves","Herbal Tea","Mint",29,127,"Colorado",50,60,30,110,44,"Decaf",3.40119738166216,5.3851648071345,5.8203976445416,5.31169438026127
954,65,3,"11/22/2012",403,80,"Major Market","East",24,"Leaves","Herbal Tea","Lemon",23,145,"Florida",40,60,20,100,57,"Decaf",3.17805383034795,4.79583152331272,5.20547167381938,4.81173477068815
561,80,20,"11/23/2012",1079,96,"Major Market","East",24,"Leaves","Herbal Tea","Mint",50,176,"Florida",60,60,30,120,46,"Decaf",3.93182563272433,7.07106781186548,7.44545010962263,6.61643990582519
469,54,-2,"11/24/2012",424,73,"Major Market","South",17,"Leaves","Herbal Tea","Chamomile",28,127,"Texas",50,60,30,110,45,"Decaf",3.36729582998647,5.29150262212918,5.72453815488877,5.2339636095422
214,41,-6,"11/25/2012",435,60,"Major Market","South",13,"Leaves","Herbal Tea","Lemon",24,101,"Texas",30,60,30,90,36,"Decaf",3.2188758248682,4.89897948556636,5.31519311320155,4.90116517042541
619,54,3,"11/26/2012",601,79,"Major Market","West",15,"Leaves","Tea","Earl Grey",53,133,"California",30,60,50,90,26,"Regular",3.98898404656427,7.28010988928052,7.63552698789731,6.76738124182189
314,31,-23,"11/27/2012",844,46,"Small Market","Central",8,"Beans","Espresso","Decaf Espresso",27,77,"Missouri",30,60,50,90,19,"Decaf",3.3322045101752,5.19615242270663,5.62625126507429,5.15418254444888
225,34,-19,"11/28/2012",863,51,"Small Market","South",9,"Beans","Coffee","Decaf Irish Cream",31,85,"Louisiana",40,60,50,100,20,"Decaf",3.46573590279973,5.56776436283002,6.00538449812395,5.46146854042967
580,33,-22,"11/29/2012",870,49,"Small Market","South",9,"Beans","Coffee","Decaf Irish Cream",28,82,"Oklahoma",30,60,50,90,21,"Decaf",3.36729582998647,5.29150262212918,5.72453815488877,5.2339636095422
603,48,-2,"11/30/2012",462,74,"Small Market","East",15,"Beans","Coffee","Colombian",28,122,"New Hampshire",40,60,30,100,46,"Regular",3.36729582998647,5.29150262212918,5.72453815488877,5.2339636095422
985,55,-3,"12/1/2012",-1053,76,"Small Market","South",49,"Beans","Espresso","Caffe Latte",1e-05,131,"Louisiana",40,60,0,100,79,"Regular",9.99995000039884e-06,0.00316227766016838,-3.22792407799438,9.99996225988376e-06
505,49,-15,"12/2/2012",335,69,"Small Market","South",44,"Beans","Espresso","Caffe Mocha",1e-05,118,"New Mexico",30,60,10,90,74,"Regular",9.99995000039884e-06,0.00316227766016838,-3.22792407799438,9.99996225988376e-06
775,39,-19,"12/3/2012",250,49,"Small Market","West",14,"Beans","Coffee","Colombian",1,88,"Nevada",40,60,20,100,48,"Regular",0.693147180559945,1,0,0.7555321818971
417,49,-5,"12/4/2012",335,69,"Small Market","Central",44,"Leaves","Herbal Tea","Chamomile",1e-05,118,"Missouri",40,60,0,100,74,"Decaf",9.99995000039884e-06,0.00316227766016838,-3.22792407799438,9.99996225988376e-06
920,41,0,"12/5/2012",320,66,"Small Market","Central",12,"Leaves","Herbal Tea","Chamomile",30,107,"Wisconsin",30,60,30,90,36,"Decaf",3.43398720448515,5.47722557505166,5.91397038224061,5.38749333359726
573,92,-4,"12/6/2012",1898,68,"Small Market","Central",28,"Leaves","Herbal Tea","Lemon",16,160,"Missouri",80,60,20,140,52,"Decaf",2.83321334405622,4,4.32465569998023,4.09095419486471
475,68,7,"12/7/2012",619,85,"Small Market","East",25,"Leaves","Herbal Tea","Lemon",27,153,"Connecticut",50,60,20,110,58,"Decaf",3.3322045101752,5.19615242270663,5.62625126507429,5.15418254444888
475,63,-4,"12/8/2012",1075,76,"Small Market","East",19,"Leaves","Herbal Tea","Mint",36,139,"Connecticut",40,60,40,100,40,"Decaf",3.61091791264422,6,6.43385350527841,5.8071810955365
435,92,-3,"12/9/2012",1898,68,"Small Market","West",28,"Leaves","Herbal Tea","Mint",17,160,"Utah",80,60,20,140,51,"Decaf",2.89037175789616,4.12310562561766,4.46520877893817,4.20625232123686
920,55,-3,"12/10/2012",627,76,"Small Market","Central",49,"Leaves","Tea","Earl Grey",1e-05,131,"Wisconsin",40,60,0,100,79,"Regular",9.99995000039884e-06,0.00316227766016838,-3.22792407799438,9.99996225988376e-06
720,51,-37,"12/11/2012",503,71,"Major Market","Central",46,"Leaves","Herbal Tea","Lemon",1e-05,130,"Colorado",30,60,30,90,76,"Decaf",9.99995000039884e-06,0.00316227766016838,-3.22792407799438,9.99996225988376e-06
970,52,-11,"12/12/2012",405,71,"Major Market","Central",17,"Leaves","Herbal Tea","Mint",39,131,"Colorado",30,60,50,90,45,"Decaf",3.68887945411394,6.2449979983984,6.67122975914856,5.99796739707004
430,43,-8,"12/13/2012",419,64,"Major Market","South",13,"Leaves","Herbal Tea","Lemon",42,114,"Texas",30,60,50,90,36,"Decaf",3.76120011569356,6.48074069840786,6.89614607365233,6.17823996880571
561,38,2,"12/14/2012",871,56,"Major Market","East",10,"Leaves","Tea","Darjeeling",52,100,"Florida",40,60,50,100,21,"Regular",3.97029191355212,7.21110255092798,7.57302464450383,6.71778694300049
510,72,33,"12/15/2012",650,110,"Major Market","West",23,"Leaves","Tea","Green Tea",83,194,"California",20,60,50,80,54,"Regular",4.43081679884331,9.1104335791443,9.21546595375243,8.00835417716213
563,0,-14,"12/16/2012",430,43,"Small Market","Central",0,"Beans","Espresso","Decaf Espresso",46,46,"Iowa",0,60,60,60,12,"Decaf",3.85014760171006,6.78232998312527,7.17916874786433,6.40438663695411
203,47,-19,"12/17/2012",375,64,"Small Market","East",15,"Beans","Espresso","Decaf Espresso",31,118,"Connecticut",30,60,50,90,43,"Decaf",3.46573590279973,5.56776436283002,6.00538449812395,5.46146854042967
405,27,-29,"12/18/2012",859,39,"Small Market","South",7,"Beans","Coffee","Decaf Irish Cream",31,70,"Oklahoma",30,60,60,90,18,"Decaf",3.46573590279973,5.56776436283002,6.00538449812395,5.46146854042967
775,31,-40,"12/19/2012",1000,37,"Small Market","West",9,"Beans","Coffee","Decaf Irish Cream",10,72,"Nevada",30,60,50,90,30,"Decaf",2.39789527279837,3.16227766016838,3.31754104989627,3.26390635106194
435,40,-5,"12/20/2012",881,59,"Small Market","West",11,"Beans","Espresso","Decaf Espresso",55,106,"Utah",20,60,60,80,22,"Decaf",4.02535169073515,7.41619848709566,7.75809690902109,6.86452628486549
603,49,-11,"12/21/2012",310,71,"Small Market","East",15,"Beans","Coffee","Amaretto",49,128,"New Hampshire",30,60,60,90,38,"Regular",3.91202300542815,7,7.38031949905347,6.56463747950631
603,45,-14,"12/22/2012",447,69,"Small Market","East",14,"Beans","Coffee","Colombian",36,121,"New Hampshire",30,60,50,90,45,"Regular",3.61091791264422,6,6.43385350527841,5.8071810955365
603,45,-40,"12/23/2012",320,64,"Small Market","East",41,"Beans","Espresso","Caffe Mocha",1e-05,116,"New Hampshire",30,60,30,90,71,"Regular",9.99995000039884e-06,0.00316227766016838,-3.22792407799438,9.99996225988376e-06
504,60,-9,"12/24/2012",-762,84,"Small Market","South",54,"Beans","Espresso","Caffe Latte",1,153,"Louisiana",30,60,10,90,83,"Regular",0.693147180559945,1,0,0.7555321818971
702,34,-33,"12/25/2012",240,43,"Small Market","West",12,"Beans","Coffee","Colombian",1e-05,82,"Nevada",40,60,30,100,45,"Regular",9.99995000039884e-06,0.00316227766016838,-3.22792407799438,9.99996225988376e-06
971,54,-22,"12/26/2012",404,66,"Small Market","West",20,"Beans","Espresso","Caffe Latte",18,128,"Oregon",40,60,40,100,54,"Regular",2.94443897916644,4.24264068711928,4.60008758198814,4.31681223695035
573,45,-39,"12/27/2012",320,64,"Small Market","Central",41,"Leaves","Herbal Tea","Chamomile",1e-05,116,"Missouri",20,60,30,80,70,"Decaf",9.99995000039884e-06,0.00316227766016838,-3.22792407799438,9.99996225988376e-06
262,48,7,"12/28/2012",851,70,"Small Market","Central",13,"Leaves","Herbal Tea","Lemon",67,126,"Wisconsin",30,60,60,90,25,"Decaf",4.21950770517611,8.18535277187245,8.43462673607566,7.39806946385375
801,49,-11,"12/29/2012",310,71,"Small Market","West",15,"Leaves","Herbal Tea","Chamomile",49,128,"Utah",30,60,60,90,38,"Decaf",3.91202300542815,7,7.38031949905347,6.56463747950631
509,48,10,"12/30/2012",829,71,"Small Market","West",13,"Leaves","Herbal Tea","Lemon",70,127,"Washington",30,60,60,90,24,"Decaf",4.26267987704132,8.36660026534076,8.59028750290873,7.52019869092566
475,40,3,"12/31/2012",881,59,"Small Market","East",11,"Leaves","Tea","Darjeeling",53,106,"Connecticut",40,60,50,100,23,"Regular",3.98898404656427,7.28010988928052,7.63552698789731,6.76738124182189
503,82,45,"1/1/2013",788,123,"Small Market","West",27,"Leaves","Tea","Earl Grey",95,218,"Oregon",30,60,50,90,59,"Regular",4.56434819146784,9.74679434480896,9.7342665053767,8.41063442425573
541,91,63,"1/2/2013",656,127,"Small Market","West",28,"Leaves","Tea","Green Tea",113,232,"Oregon",40,60,50,100,51,"Regular",4.7361984483945,10.6301458127346,10.4324927476184,8.94812092017925
936,40,-1,"1/3/2013",536,52,"Major Market","South",13,"Beans","Coffee","Decaf Irish Cream",39,98,"Texas",40,60,40,100,26,"Decaf",3.68887945411394,6.2449979983984,6.67122975914856,5.99796739707004
254,50,31,"1/4/2013",589,73,"Major Market","South",14,"Beans","Espresso","Decaf Espresso",71,131,"Texas",30,60,40,90,25,"Decaf",4.27666611901606,8.42614977317636,8.64113527754987,7.56004225651823
719,40,0,"1/5/2013",536,52,"Major Market","Central",13,"Beans","Coffee","Colombian",40,98,"Colorado",30,60,40,90,25,"Regular",3.71357206670431,6.32455532033676,6.7475071511074,6.05915922675012
339,52,-12,"1/6/2013",554,68,"Major Market","East",47,"Beans","Espresso","Caffe Mocha",1e-05,128,"Massachusetts",50,60,0,110,76,"Regular",9.99995000039884e-06,0.00316227766016838,-3.22792407799438,9.99996225988376e-06
561,75,35,"1/7/2013",1063,89,"Major Market","East",23,"Leaves","Herbal Tea","Mint",65,175,"Florida",50,60,30,110,45,"Decaf",4.18965474202643,8.06225774829855,8.32812197646009,7.31437166239047
806,46,16,"1/8/2013",424,68,"Major Market","South",14,"Leaves","Herbal Tea","Lemon",46,121,"Texas",40,60,30,100,37,"Decaf",3.85014760171006,6.78232998312527,7.17916874786433,6.40438663695411
719,55,2,"1/9/2013",410,69,"Major Market","Central",20,"Leaves","Tea","Darjeeling",22,132,"Colorado",40,60,20,100,54,"Regular",3.13549421592915,4.69041575982343,5.09235808503701,4.71944589803896
708,50,31,"1/10/2013",589,73,"Major Market","Central",14,"Leaves","Tea","Darjeeling",71,131,"Illinois",40,60,40,100,25,"Regular",4.27666611901606,8.42614977317636,8.64113527754987,7.56004225651823
719,57,13,"1/11/2013",1042,68,"Major Market","Central",17,"Leaves","Tea","Earl Grey",43,133,"Colorado",40,60,30,100,39,"Regular",3.78418963391826,6.557438524302,6.96861297165568,6.23621841611432
351,36,6,"1/12/2013",862,52,"Major Market","East",10,"Leaves","Tea","Darjeeling",46,94,"Massachusetts",30,60,40,90,21,"Regular",3.85014760171006,6.78232998312527,7.17916874786433,6.40438663695411
636,33,-10,"1/13/2013",836,48,"Small Market","Central",9,"Beans","Espresso","Decaf Espresso",40,86,"Missouri",40,60,50,100,21,"Decaf",3.71357206670431,6.32455532033676,6.7475071511074,6.05915922675012
504,31,-8,"1/14/2013",856,47,"Small Market","South",8,"Beans","Coffee","Decaf Irish Cream",42,83,"Louisiana",30,60,50,90,19,"Decaf",3.76120011569356,6.48074069840786,6.89614607365233,6.17823996880571
580,36,5,"1/15/2013",862,52,"Small Market","South",10,"Beans","Coffee","Decaf Irish Cream",45,94,"Oklahoma",40,60,40,100,22,"Decaf",3.8286413964891,6.70820393249937,7.11008077908889,6.34925473862917
337,49,20,"1/16/2013",454,71,"Small Market","South",15,"Beans","Espresso","Decaf Espresso",50,128,"Louisiana",30,60,30,90,37,"Decaf",3.93182563272433,7.07106781186548,7.44545010962263,6.61643990582519
262,54,1,"1/17/2013",391,67,"Small Market","Central",20,"Beans","Coffee","Amaretto",21,129,"Wisconsin",50,60,20,110,53,"Regular",3.09104245335832,4.58257569495584,4.97558582846753,4.62407670458834
603,46,5,"1/18/2013",316,67,"Small Market","East",14,"Beans","Coffee","Amaretto",45,120,"New Hampshire",40,60,40,100,37,"Regular",3.8286413964891,6.70820393249937,7.11008077908889,6.34925473862917
603,43,0,"1/19/2013",452,66,"Small Market","East",14,"Beans","Coffee","Colombian",30,116,"New Hampshire",30,60,30,90,46,"Regular",3.43398720448515,5.47722557505166,5.91397038224061,5.38749333359726
603,44,-22,"1/20/2013",325,62,"Small Market","East",40,"Beans","Espresso","Caffe Mocha",1e-05,113,"New Hampshire",40,60,10,100,70,"Regular",9.99995000039884e-06,0.00316227766016838,-3.22792407799438,9.99996225988376e-06
318,53,43,"1/21/2013",321,88,"Small Market","South",16,"Beans","Espresso","Caffe Mocha",73,150,"Louisiana",40,60,30,100,39,"Regular",4.30406509320417,8.54400374531753,8.7413459242933,7.63849272152917
206,54,-1,"1/22/2013",391,67,"Small Market","West",20,"Beans","Espresso","Caffe Mocha",19,129,"Washington",50,60,20,110,54,"Regular",2.99573227355399,4.35889894354067,4.72981827162529,4.42306337524849
580,54,-1,"1/23/2013",391,67,"Small Market","South",20,"Leaves","Herbal Tea","Chamomile",19,129,"Oklahoma",50,60,20,110,54,"Decaf",2.99573227355399,4.35889894354067,4.72981827162529,4.42306337524849
435,46,15,"1/24/2013",316,67,"Small Market","West",14,"Leaves","Herbal Tea","Chamomile",45,120,"Utah",40,60,30,100,37,"Decaf",3.8286413964891,6.70820393249937,7.11008077908889,6.34925473862917
435,43,0,"1/25/2013",452,66,"Small Market","West",14,"Leaves","Herbal Tea","Lemon",30,116,"Utah",40,60,30,100,46,"Decaf",3.43398720448515,5.47722557505166,5.91397038224061,5.38749333359726
253,47,25,"1/26/2013",834,68,"Small Market","West",13,"Leaves","Herbal Tea","Lemon",65,123,"Washington",40,60,40,100,24,"Decaf",4.18965474202643,8.06225774829855,8.32812197646009,7.31437166239047
203,36,9,"1/27/2013",809,54,"Small Market","East",10,"Leaves","Tea","Green Tea",49,96,"Connecticut",30,60,40,90,21,"Regular",3.91202300542815,7,7.38031949905347,6.56463747950631
509,61,1,"1/28/2013",613,86,"Small Market","West",55,"Leaves","Tea","Green Tea",1,157,"Washington",40,60,0,100,85,"Regular",0.693147180559945,1,0,0.7555321818971
956,43,5,"1/29/2013",531,56,"Major Market","South",14,"Beans","Coffee","Decaf Irish Cream",45,106,"Texas",50,60,40,110,26,"Decaf",3.8286413964891,6.70820393249937,7.11008077908889,6.34925473862917
430,54,37,"1/30/2013",601,79,"Major Market","South",15,"Beans","Espresso","Decaf Espresso",77,142,"Texas",40,60,40,100,27,"Decaf",4.35670882668959,8.77496438739212,8.93614118031312,7.79071274357814
719,47,-9,"1/31/2013",521,65,"Major Market","Central",42,"Leaves","Herbal Tea","Lemon",1e-05,119,"Colorado",40,60,0,100,71,"Decaf",9.99995000039884e-06,0.00316227766016838,-3.22792407799438,9.99996225988376e-06
970,54,13,"2/1/2013",424,73,"Major Market","Central",17,"Leaves","Herbal Tea","Mint",43,135,"Colorado",50,60,30,110,44,"Decaf",3.78418963391826,6.557438524302,6.96861297165568,6.23621841611432
305,65,14,"2/2/2013",403,80,"Major Market","East",24,"Leaves","Herbal Tea","Lemon",34,155,"Florida",40,60,20,100,57,"Decaf",3.55534806148941,5.8309518948453,6.2677982204248,5.67340047857861
407,80,44,"2/3/2013",1079,96,"Major Market","East",24,"Leaves","Herbal Tea","Mint",74,188,"Florida",60,60,30,120,46,"Decaf",4.31748811353631,8.60232526704263,8.79073181020461,7.67711912879533
325,54,12,"2/4/2013",424,73,"Major Market","South",17,"Leaves","Herbal Tea","Chamomile",42,135,"Texas",50,60,30,110,45,"Decaf",3.76120011569356,6.48074069840786,6.89614607365233,6.17823996880571
430,41,6,"2/5/2013",435,60,"Major Market","South",13,"Leaves","Herbal Tea","Lemon",36,108,"Texas",30,60,30,90,36,"Decaf",3.61091791264422,6,6.43385350527841,5.8071810955365
